"00","00"
"01","09"
"02","18"
"03","27"
"04","36"
"05","45"
"06","54"
"07","63"
"08","72"
"09","81"
"10","09"
"11","00"
"12","09"
"13","18"
"14","27"
"15","36"
"16","45"
"17","54"
"18","63"
"19","72"
"20","18"
"21","09"
"22","00"
"23","09"
"24","18"
"25","27"
"26","36"
"27","45"
"28","54"
"29","63"
"30","27"
"31","18"
"32","09"
"33","00"
"34","09"
"35","18"
"36","27"
"37","36"
"38","45"
"39","54"
"40","36"
"41","27"
"42","18"
"43","09"
"44","00"
"45","09"
"46","18"
"47","27"
"48","36"
"49","45"
"50","45"
"51","36"
"52","27"
"53","18"
"54","09"
"55","00"
"56","09"
"57","18"
"58","27"
"59","36"
"60","54"
"61","45"
"62","36"
"63","27"
"64","18"
"65","09"
"66","00"
"67","09"
"68","18"
"69","27"
"70","63"
"71","54"
"72","45"
"73","36"
"74","27"
"75","18"
"76","09"
"77","00"
"78","09"
"79","18"
"80","72"
"81","63"
"82","54"
"83","45"
"84","36"
"85","27"
"86","18"
"87","09"
"88","00"
"89","09"
"90","81"
"91","72"
"92","63"
"93","54"
"94","45"
"95","36"
"96","27"
"97","18"
"98","09"
"99","00"
